AdultID,EggID,FMass,MMass,Genetic,Order,Rearing,Sex,Treatment,DayM,Mass,DayT,Tarsus,Head,Body
3598,13_13,15.71,15.03,13,13,6,F,low,5,3.9,5,7.99,NA,NA
3598,13_13,15.71,15.03,13,13,6,F,low,10,10.32,10,16.92,NA,NA
3598,13_13,15.71,15.03,13,13,6,F,low,16,10.57,30,16,NA,NA
3598,13_13,15.71,15.03,13,13,6,F,low,30,13.36,60,16.2,NA,NA
3598,13_13,15.71,15.03,13,13,6,F,low,40,12.95,NA,NA,NA,NA
3598,13_13,15.71,15.03,13,13,6,F,low,60,13.29,NA,NA,NA,NA
3598,13_13,15.71,15.03,13,13,6,F,low,90,13.37,NA,NA,NA,NA
3600,9_11,16.71,13.71,9,11,1,F,per,0,1.0414,0,NA,NA,NA
3600,9_11,16.71,13.71,9,11,1,F,per,2,1.75,2,5.43,NA,NA
3600,9_11,16.71,13.71,9,11,1,F,per,5,3.25,5,7.87,NA,NA
3600,9_11,16.71,13.71,9,11,1,F,per,10,10.17,10,15.06,NA,NA
3600,9_11,16.71,13.71,9,11,1,F,per,16,12.03,30,15.7,NA,NA
3600,9_11,16.71,13.71,9,11,1,F,per,30,12.33,60,15.9,NA,NA
3600,9_11,16.71,13.71,9,11,1,F,per,40,13.62,NA,NA,NA,NA
3600,9_11,16.71,13.71,9,11,1,F,per,60,14.15,NA,NA,NA,NA
3600,9_11,16.71,13.71,9,11,1,F,per,90,14,NA,NA,NA,NA
3601,10_5,19.01,13.95,10,5,1,F,cont,0,0.5549,0,NA,NA,NA
3601,10_5,19.01,13.95,10,5,1,F,cont,2,NA,2,NA,NA,NA
3601,10_5,19.01,13.95,10,5,1,F,cont,5,3.28,5,9.35,NA,NA
3601,10_5,19.01,13.95,10,5,1,F,cont,10,9.19,10,15.83,NA,NA
3601,10_5,19.01,13.95,10,5,1,F,cont,16,11.7,30,15.6,NA,NA
3601,10_5,19.01,13.95,10,5,1,F,cont,30,12.72,60,16,NA,NA
3601,10_5,19.01,13.95,10,5,1,F,cont,40,13.88,NA,NA,NA,NA
3601,10_5,19.01,13.95,10,5,1,F,cont,60,13.55,NA,NA,NA,NA
3601,10_5,19.01,13.95,10,5,1,F,cont,90,13.56,NA,NA,NA,NA
3602,32_7,15.05,12.79,32,7,1,M,low,0,0.9254,0,4.09,6.53,17.72
3602,32_7,15.05,12.79,32,7,1,M,low,2,1.51,2,4.85,NA,NA
3602,32_7,15.05,12.79,32,7,1,M,low,5,3.8,5,7.79,NA,NA
3602,32_7,15.05,12.79,32,7,1,M,low,10,8.77,10,15.63,NA,NA
3602,32_7,15.05,12.79,32,7,1,M,low,16,11,30,16.3,NA,NA
3602,32_7,15.05,12.79,32,7,1,M,low,30,13.09,60,16.1,NA,NA
3602,32_7,15.05,12.79,32,7,1,M,low,40,13.42,NA,NA,NA,NA
3602,32_7,15.05,12.79,32,7,1,M,low,60,13.23,NA,NA,NA,NA
3602,32_7,15.05,12.79,32,7,1,M,low,90,12.6,NA,NA,NA,NA
3603,6_9,15.94,13.82,6,9,1,NA,low,0,NA,0,4.35,6.24,17.07
3603,6_9,15.94,13.82,6,9,1,NA,low,2,1.26,2,3.91,NA,NA
3603,6_9,15.94,13.82,6,9,1,NA,low,5,2.91,5,7.32,NA,NA
3603,6_9,15.94,13.82,6,9,1,NA,low,10,7.75,10,7.32,NA,NA
3603,6_9,15.94,13.82,6,9,1,NA,low,16,11.1,30,NA,NA,NA
3603,6_9,15.94,13.82,6,9,1,NA,low,30,NA,60,NA,NA,NA
3603,6_9,15.94,13.82,6,9,1,NA,low,40,NA,NA,NA,NA,NA
3603,6_9,15.94,13.82,6,9,1,NA,low,60,NA,NA,NA,NA,NA
3603,6_9,15.94,13.82,6,9,1,NA,low,90,NA,NA,NA,NA,NA
3604,6_8,15.94,13.82,6,8,1,F,per,0,0.7701,0,4.24,6.33,17.44
3604,6_8,15.94,13.82,6,8,1,F,per,2,1.03,2,NA,NA,NA
3604,6_8,15.94,13.82,6,8,1,F,per,5,1.36,5,5.19,NA,NA
3604,6_8,15.94,13.82,6,8,1,F,per,10,6.41,10,12.46,NA,NA
3604,6_8,15.94,13.82,6,8,1,F,per,16,11.07,30,15.5,NA,NA
3604,6_8,15.94,13.82,6,8,1,F,per,30,10.46,60,15.7,NA,NA
3604,6_8,15.94,13.82,6,8,1,F,per,40,13.06,NA,NA,NA,NA
3604,6_8,15.94,13.82,6,8,1,F,per,60,13.14,NA,NA,NA,NA
3604,6_8,15.94,13.82,6,8,1,F,per,90,12.96,NA,NA,NA,NA
3606,31_3,15.12,14.19,31,3,10,F,per,0,0.878,0,4.76,6.91,17.41
3606,31_3,15.12,14.19,31,3,10,F,per,2,1.48,2,4.95,NA,NA
3606,31_3,15.12,14.19,31,3,10,F,per,5,2.76,5,6.69,NA,NA
3606,31_3,15.12,14.19,31,3,10,F,per,10,6.19,10,NA,NA,NA
3606,31_3,15.12,14.19,31,3,10,F,per,16,10.38,30,15,NA,NA
3606,31_3,15.12,14.19,31,3,10,F,per,30,13.49,60,14.9,NA,NA
3606,31_3,15.12,14.19,31,3,10,F,per,40,12.72,NA,NA,NA,NA
3606,31_3,15.12,14.19,31,3,10,F,per,60,13.81,NA,NA,NA,NA
3606,31_3,15.12,14.19,31,3,10,F,per,90,14.62,NA,NA,NA,NA
3607,13_16,15.71,15.03,13,16,10,M,low,0,0.7704,0,3.87,6.33,16.88
3607,13_16,15.71,15.03,13,16,10,M,low,2,1.46,2,4.11,NA,NA
3607,13_16,15.71,15.03,13,16,10,M,low,5,2.53,5,5.25,NA,NA
3607,13_16,15.71,15.03,13,16,10,M,low,10,6.45,10,11.08,NA,NA
3607,13_16,15.71,15.03,13,16,10,M,low,16,11.43,30,16.3,NA,NA
3607,13_16,15.71,15.03,13,16,10,M,low,30,13.27,60,16,NA,NA
3607,13_16,15.71,15.03,13,16,10,M,low,40,12.82,NA,NA,NA,NA
3607,13_16,15.71,15.03,13,16,10,M,low,60,13.38,NA,NA,NA,NA
3607,13_16,15.71,15.03,13,16,10,M,low,90,13.1,NA,NA,NA,NA
3608,29_13,14.92,14.66,29,13,10,NA,per,0,0.6731,0,3.85,6.28,14.70
3608,29_13,14.92,14.66,29,13,10,NA,per,2,1,2,4.89,NA,NA
3608,29_13,14.92,14.66,29,13,10,NA,per,5,1.95,5,5.88,NA,NA
3608,29_13,14.92,14.66,29,13,10,NA,per,10,4.19,10,10.67,NA,NA
3608,29_13,14.92,14.66,29,13,10,NA,per,16,NA,30,NA,NA,NA
3608,29_13,14.92,14.66,29,13,10,NA,per,30,NA,60,NA,NA,NA
3608,29_13,14.92,14.66,29,13,10,NA,per,40,NA,NA,NA,NA,NA
3608,29_13,14.92,14.66,29,13,10,NA,per,60,NA,NA,NA,NA,NA
3608,29_13,14.92,14.66,29,13,10,NA,per,90,NA,NA,NA,NA,NA
3610,31_5,15.12,14.19,31,5,28,F,cont,0,0.7745,0,3.82,6.74,16.07
3610,31_5,15.12,14.19,31,5,28,F,cont,2,1.62,2,4.83,NA,NA
3610,31_5,15.12,14.19,31,5,28,F,cont,5,3.37,5,7.94,NA,NA
3610,31_5,15.12,14.19,31,5,28,F,cont,10,8.76,10,13.97,NA,NA
3610,31_5,15.12,14.19,31,5,28,F,cont,16,NA,30,14.3,NA,NA
3610,31_5,15.12,14.19,31,5,28,F,cont,30,12.4,60,15.2,NA,NA
3610,31_5,15.12,14.19,31,5,28,F,cont,40,12.02,NA,NA,NA,NA
3610,31_5,15.12,14.19,31,5,28,F,cont,60,13.13,NA,NA,NA,NA
3610,31_5,15.12,14.19,31,5,28,F,cont,90,13.15,NA,NA,NA,NA
3611,28_8,14.64,15.07,28,8,28,M,low,0,0.861,0,3.57,7.26,17.91
3611,28_8,14.64,15.07,28,8,28,M,low,2,1.75,2,5.07,NA,NA
3611,28_8,14.64,15.07,28,8,28,M,low,5,4.04,5,NA,NA,NA
3611,28_8,14.64,15.07,28,8,28,M,low,10,10.33,10,14.72,NA,NA
3611,28_8,14.64,15.07,28,8,28,M,low,16,NA,30,15.7,NA,NA
3611,28_8,14.64,15.07,28,8,28,M,low,30,14.02,60,15.7,NA,NA
3611,28_8,14.64,15.07,28,8,28,M,low,40,13.45,NA,NA,NA,NA
3611,28_8,14.64,15.07,28,8,28,M,low,60,14.72,NA,NA,NA,NA
3611,28_8,14.64,15.07,28,8,28,M,low,90,14.24,NA,NA,NA,NA
3612,28_10,14.64,15.07,28,10,29,F,per,0,0.7324,0,3.75,6.67,17.47
3612,28_10,14.64,15.07,28,10,29,F,per,2,1.15,2,4.74,NA,NA
3612,28_10,14.64,15.07,28,10,29,F,per,5,2.7,5,NA,NA,NA
3612,28_10,14.64,15.07,28,10,29,F,per,10,8.06,10,12.82,NA,NA
3612,28_10,14.64,15.07,28,10,29,F,per,16,11.95,30,15.6,NA,NA
3612,28_10,14.64,15.07,28,10,29,F,per,30,12.83,60,15.6,NA,NA
3612,28_10,14.64,15.07,28,10,29,F,per,40,12.81,NA,NA,NA,NA
3612,28_10,14.64,15.07,28,10,29,F,per,60,13.37,NA,NA,NA,NA
3612,28_10,14.64,15.07,28,10,29,F,per,90,13.61,NA,NA,NA,NA
3613,29_16,14.92,14.66,29,16,29,M,low,0,0.8412,0,4.08,6.46,17.38
3613,29_16,14.92,14.66,29,16,29,M,low,2,1.42,2,NA,NA,NA
3613,29_16,14.92,14.66,29,16,29,M,low,5,3.09,5,7.55,NA,NA
3613,29_16,14.92,14.66,29,16,29,M,low,10,9.06,10,13.94,NA,NA
3613,29_16,14.92,14.66,29,16,29,M,low,16,11.9,30,NA,NA,NA
3613,29_16,14.92,14.66,29,16,29,M,low,30,13.31,60,14.6,NA,NA
3613,29_16,14.92,14.66,29,16,29,M,low,40,13.58,NA,NA,NA,NA
3613,29_16,14.92,14.66,29,16,29,M,low,60,13.36,NA,NA,NA,NA
3613,29_16,14.92,14.66,29,16,29,M,low,90,13.57,NA,NA,NA,NA
3614,29_17,14.92,14.66,29,17,29,F,cont,0,0.8093,0,3.75,6.8,17.56
3614,29_17,14.92,14.66,29,17,29,F,cont,2,1.51,2,NA,NA,NA
3614,29_17,14.92,14.66,29,17,29,F,cont,5,3.07,5,6.71,NA,NA
3614,29_17,14.92,14.66,29,17,29,F,cont,10,9.22,10,14.48,NA,NA
3614,29_17,14.92,14.66,29,17,29,F,cont,16,12.27,30,15.8,NA,NA
3614,29_17,14.92,14.66,29,17,29,F,cont,30,13.88,60,15.7,NA,NA
3614,29_17,14.92,14.66,29,17,29,F,cont,40,13.69,NA,NA,NA,NA
3614,29_17,14.92,14.66,29,17,29,F,cont,60,14.14,NA,NA,NA,NA
3614,29_17,14.92,14.66,29,17,29,F,cont,90,14.73,NA,NA,NA,NA
3615,2_13,14.17,18.95,2,13,29,F,per,0,0.65,0,NA,NA,NA
3615,2_13,14.17,18.95,2,13,29,F,per,2,1.12,2,4.62,NA,NA
3615,2_13,14.17,18.95,2,13,29,F,per,5,2.08,5,5.66,NA,NA
3615,2_13,14.17,18.95,2,13,29,F,per,10,7.15,10,11.40,NA,NA
3615,2_13,14.17,18.95,2,13,29,F,per,16,12.06,30,16.3,NA,NA
3615,2_13,14.17,18.95,2,13,29,F,per,30,15.24,60,16.4,NA,NA
3615,2_13,14.17,18.95,2,13,29,F,per,40,14.9,NA,NA,NA,NA
3615,2_13,14.17,18.95,2,13,29,F,per,60,15.73,NA,NA,NA,NA
3615,2_13,14.17,18.95,2,13,29,F,per,90,15.61,NA,NA,NA,NA
3616,4_14,18.19,15.1,4,14,2,M,per,0,0.8267,0,3.89,6.56,17.05
3616,4_14,18.19,15.1,4,14,2,M,per,2,1.91,2,5.75,NA,NA
3616,4_14,18.19,15.1,4,14,2,M,per,5,4.16,5,7.55,NA,NA
3616,4_14,18.19,15.1,4,14,2,M,per,10,9.93,10,14.26,NA,NA
3616,4_14,18.19,15.1,4,14,2,M,per,16,12.25,30,15.7,NA,NA
3616,4_14,18.19,15.1,4,14,2,M,per,30,14.38,60,15.3,NA,NA
3616,4_14,18.19,15.1,4,14,2,M,per,40,13.88,NA,NA,NA,NA
3616,4_14,18.19,15.1,4,14,2,M,per,60,14.46,NA,NA,NA,NA
3616,4_14,18.19,15.1,4,14,2,M,per,90,14.3,NA,NA,NA,NA
3617,4_15,18.19,15.1,4,15,2,M,low,0,0.8204,0,3.88,6.38,18.41
3617,4_15,18.19,15.1,4,15,2,M,low,2,1.32,2,4.69,NA,NA
3617,4_15,18.19,15.1,4,15,2,M,low,5,2.34,5,5.26,NA,NA
3617,4_15,18.19,15.1,4,15,2,M,low,10,8.07,10,13.40,NA,NA
3617,4_15,18.19,15.1,4,15,2,M,low,16,12.05,30,15.6,NA,NA
3617,4_15,18.19,15.1,4,15,2,M,low,30,14.95,60,16.3,NA,NA
3617,4_15,18.19,15.1,4,15,2,M,low,40,14.82,NA,NA,NA,NA
3617,4_15,18.19,15.1,4,15,2,M,low,60,16.1,NA,NA,NA,NA
3617,4_15,18.19,15.1,4,15,2,M,low,90,15.62,NA,NA,NA,NA
3618,4_16,18.19,15.1,4,16,2,M,cont,0,0.9025,0,3.92,6.20,17.62
3618,4_16,18.19,15.1,4,16,2,M,cont,2,1.53,2,5.77,NA,NA
3618,4_16,18.19,15.1,4,16,2,M,cont,5,3.21,5,6.69,NA,NA
3618,4_16,18.19,15.1,4,16,2,M,cont,10,9.48,10,14.78,NA,NA
3618,4_16,18.19,15.1,4,16,2,M,cont,16,12.2,30,16.2,NA,NA
3618,4_16,18.19,15.1,4,16,2,M,cont,30,14.7,60,16.3,NA,NA
3618,4_16,18.19,15.1,4,16,2,M,cont,40,13.68,NA,NA,NA,NA
3618,4_16,18.19,15.1,4,16,2,M,cont,60,14.21,NA,NA,NA,NA
3618,4_16,18.19,15.1,4,16,2,M,cont,90,14.54,NA,NA,NA,NA
3619,15_8,15.08,13.45,15,8,2,F,low,0,0.9257,0,4.07,7.08,18.21
3619,15_8,15.08,13.45,15,8,2,F,low,2,1.5,2,4.59,NA,NA
3619,15_8,15.08,13.45,15,8,2,F,low,5,4.18,5,7.77,NA,NA
3619,15_8,15.08,13.45,15,8,2,F,low,10,10.98,10,15.84,NA,NA
3619,15_8,15.08,13.45,15,8,2,F,low,16,12.08,30,16,NA,NA
3619,15_8,15.08,13.45,15,8,2,F,low,30,14.2,60,16.1,NA,NA
3619,15_8,15.08,13.45,15,8,2,F,low,40,13.96,NA,NA,NA,NA
3619,15_8,15.08,13.45,15,8,2,F,low,60,14.63,NA,NA,NA,NA
3619,15_8,15.08,13.45,15,8,2,F,low,90,14.32,NA,NA,NA,NA
3620,4_17,18.19,15.1,4,17,15,M,per,0,0.9039,0,4.52,6.42,18.36
3620,4_17,18.19,15.1,4,17,15,M,per,2,1.17,2,4.63,NA,NA
3620,4_17,18.19,15.1,4,17,15,M,per,5,2.51,5,6.44,NA,NA
3620,4_17,18.19,15.1,4,17,15,M,per,10,8.09,10,13.71,NA,NA
3620,4_17,18.19,15.1,4,17,15,M,per,16,11.07,30,15.8,NA,NA
3620,4_17,18.19,15.1,4,17,15,M,per,30,13.9,60,16.4,NA,NA
3620,4_17,18.19,15.1,4,17,15,M,per,40,14.26,NA,NA,NA,NA
3620,4_17,18.19,15.1,4,17,15,M,per,60,14.99,NA,NA,NA,NA
3620,4_17,18.19,15.1,4,17,15,M,per,90,15.76,NA,NA,NA,NA
3621,32_11,15.05,12.79,32,11,15,F,low,0,0.8468,0,3.68,6.38,17.67
3621,32_11,15.05,12.79,32,11,15,F,low,2,1.01,2,4.10,NA,NA
3621,32_11,15.05,12.79,32,11,15,F,low,5,2.05,5,5.14,NA,NA
3621,32_11,15.05,12.79,32,11,15,F,low,10,6.68,10,11.96,NA,NA
3621,32_11,15.05,12.79,32,11,15,F,low,16,11.37,30,15.9,NA,NA
3621,32_11,15.05,12.79,32,11,15,F,low,30,13.32,60,16,NA,NA
3621,32_11,15.05,12.79,32,11,15,F,low,40,13.21,NA,NA,NA,NA
3621,32_11,15.05,12.79,32,11,15,F,low,60,13.46,NA,NA,NA,NA
3621,32_11,15.05,12.79,32,11,15,F,low,90,13.74,NA,NA,NA,NA
3622,10_6,19.01,13.95,10,6,15,F,per,0,0.7682,0,4.29,7.03,17.62
3622,10_6,19.01,13.95,10,6,15,F,per,2,1.26,2,4.45,NA,NA
3622,10_6,19.01,13.95,10,6,15,F,per,5,2.65,5,6.01,NA,NA
3622,10_6,19.01,13.95,10,6,15,F,per,10,8.94,10,13.75,NA,NA
3622,10_6,19.01,13.95,10,6,15,F,per,16,11.47,30,16.1,NA,NA
3622,10_6,19.01,13.95,10,6,15,F,per,30,14.06,60,16,NA,NA
3622,10_6,19.01,13.95,10,6,15,F,per,40,15.02,NA,NA,NA,NA
3622,10_6,19.01,13.95,10,6,15,F,per,60,15.07,NA,NA,NA,NA
3622,10_6,19.01,13.95,10,6,15,F,per,90,14.85,NA,NA,NA,NA
3623,32_13,15.05,12.79,32,13,15,M,per,0,0.8732,0,4.16,7.27,18.76
3623,32_13,15.05,12.79,32,13,15,M,per,2,1.16,2,4.35,NA,NA
3623,32_13,15.05,12.79,32,13,15,M,per,5,2.6,5,5.87,NA,NA
3623,32_13,15.05,12.79,32,13,15,M,per,10,8.75,10,13.24,NA,NA
3623,32_13,15.05,12.79,32,13,15,M,per,16,11.81,30,15.4,NA,NA
3623,32_13,15.05,12.79,32,13,15,M,per,30,14.18,60,15.5,NA,NA
3623,32_13,15.05,12.79,32,13,15,M,per,40,13.91,NA,NA,NA,NA
3623,32_13,15.05,12.79,32,13,15,M,per,60,15.6,NA,NA,NA,NA
3623,32_13,15.05,12.79,32,13,15,M,per,90,14.84,NA,NA,NA,NA
3624,10_7,19.01,13.95,10,7,23,F,low,0,0.6946,0,3.78,6.21,16.97
3624,10_7,19.01,13.95,10,7,23,F,low,2,1.83,2,5.32,NA,NA
3624,10_7,19.01,13.95,10,7,23,F,low,5,4.98,5,9.19,NA,NA
3624,10_7,19.01,13.95,10,7,23,F,low,10,11.12,10,16.15,NA,NA
3624,10_7,19.01,13.95,10,7,23,F,low,16,12.8,30,16.5,NA,NA
3624,10_7,19.01,13.95,10,7,23,F,low,30,14.71,60,16.5,NA,NA
3624,10_7,19.01,13.95,10,7,23,F,low,40,14.55,NA,NA,NA,NA
3624,10_7,19.01,13.95,10,7,23,F,low,60,14.48,NA,NA,NA,NA
3624,10_7,19.01,13.95,10,7,23,F,low,90,16.37,NA,NA,NA,NA
3625,10_8,19.01,13.95,10,8,23,M,cont,0,0.8694,0,3.94,7.53,17.66
3625,10_8,19.01,13.95,10,8,23,M,cont,2,1.65,2,4.81,NA,NA
