AdultID,Sex,Treatment,Genetic ,Rearing,Day,Age,Timepoint,CORT,Integral,Plate,Mass,Free_Hormone,Per_CBG_Sat,CBG_Conc
3598,F,low,13,6,16,16,Baseline,2.8054,57.0783,9,10.57,0.121061193,7.561309537,105.4755299
3598,F,low,13,6,16,16,Stress,0.7992,57.0783,9,10.57,0.029611321,1.96151954,116.0774664
3598,F,low,13,6,40,40,Baseline,0.62905,81.77907,9,12.95,NA,NA,NA
3598,F,low,13,6,40,40,Stress,5.28887,81.77907,9,12.95,NA,NA,NA
3598,F,low,13,6,90,90,Baseline,10.68705,185.26887,9,13.37,0.197024618,11.74846307,260.8497158
3598,F,low,13,6,90,90,Stress,0.66167,185.26887,9,13.37,NA,NA,NA
3600,F,per,9,1,16,17,Baseline,1.93919,194.031735,12,12.03,0.041509383,2.728171376,203.6161879
3600,F,per,9,1,16,17,Stress,12.0026,194.031735,12,12.03,0.339878635,18.67589564,183.6573745
3600,F,per,9,1,40,41,Baseline,0.35872,392.69847,12,13.62,NA,NA,NA
3600,F,per,9,1,40,41,Stress,28.65034,392.69847,12,13.62,NA,NA,NA
3600,F,per,9,1,90,91,Baseline,1.517187558,109.6407947,12,14,0.030209473,2.000349849,217.3818845
3600,F,per,9,1,90,91,Stress,6.2672,109.6407947,12,14,NA,NA,NA
3601,F,cont,10,1,16,17,Baseline,1.78686,316.466595,7,11.7,0.059850621,3.886781001,131.1376302
3601,F,cont,10,1,16,17,Stress,21.25803,316.466595,7,11.7,0.705415072,32.27831092,187.8825723
3601,F,cont,10,1,40,41,Baseline,1.648368621,183.6798222,7,13.88,NA,NA,NA
3601,F,cont,10,1,40,41,Stress,11.59124,183.6798222,7,13.88,NA,NA,NA
3601,F,cont,10,1,90,91,Baseline,1.648368621,156.7380072,7,13.55,0.044284236,2.91,162.2206614
3601,F,cont,10,1,90,91,Stress,9.59555,156.7380072,7,13.56,NA,NA,NA
3602,M,low,32,1,16,16,Baseline,1.04504,133.19871,2,11,NA,NA,NA
3602,M,low,32,1,16,16,Stress,8.5893,133.19871,2,11,NA,NA,NA
3602,M,low,32,1,40,40,Baseline,2.8466,160.35216,2,13.42,NA,NA,NA
3602,M,low,32,1,40,40,Stress,8.39876,160.35216,2,13.42,NA,NA,NA
3602,M,low,32,1,90,90,Baseline,2.17692,131.63904,2,12.6,NA,NA,NA
3602,M,low,32,1,90,90,Stress,7.09036,131.63904,2,12.6,NA,NA,NA
3603,NA,low,6,1,16,16,Baseline,4.71101,NA,16,11.1,NA,NA,NA
3603,NA,low,6,1,16,NA,Stress,NA,NA,16,NA,NA,NA,NA
3603,NA,low,6,1,40,NA,Baseline,NA,NA,16,NA,NA,NA,NA
3603,NA,low,6,1,40,NA,Stress,NA,NA,16,NA,NA,NA,NA
3603,NA,low,6,1,90,NA,Baseline,NA,NA,16,NA,NA,NA,NA
3603,NA,low,6,1,90,NA,Stress,NA,NA,16,NA,NA,NA,NA
3604,F,per,6,1,16,16,Baseline,8.38063,338.879325,13,11.07,0.165631866,10.06494039,238.6590439
3604,F,per,6,1,16,16,Stress,14.85918,338.879325,13,11.07,0.218495085,12.86403985,331.6620733
3604,F,per,6,1,40,40,Baseline,0.79554,64.65105,13,13.06,NA,NA,NA
3604,F,per,6,1,40,40,Stress,3.81664,64.65105,13,13.06,NA,NA,NA
3604,F,per,6,1,90,90,Baseline,1.102483514,112.774003,13,12.96,0.024261946,1.612880376,195.7683102
3604,F,per,6,1,90,90,Stress,7.00615,112.774003,13,12.96,NA,NA,NA
3606,F,per,31,10,16,17,Baseline,0.79085,85.005105,10,10.38,0.029601364,1.960872906,114.8873041
3606,F,per,31,10,16,17,Stress,5.33008,85.005105,10,10.38,0.515486239,25.83261308,57.55182404
3606,F,per,31,10,40,41,Baseline,0.94743,129.76146,10,12.72,NA,NA,NA
3606,F,per,31,10,40,41,Stress,8.45399,129.76146,10,12.72,NA,NA,NA
3606,F,per,31,10,90,91,Baseline,1.185472708,127.3617147,10,14.62,0.034002057,2.245839519,150.8244721
3606,F,per,31,10,90,91,Stress,7.98529,127.3617147,10,14.62,NA,NA,NA
3607,M,low,13,10,16,16,Baseline,1.82558,216.96909,5,11.43,NA,NA,NA
3607,M,low,13,10,16,16,Stress,13.84052,216.96909,5,11.43,NA,NA,NA
3607,M,low,13,10,40,40,Baseline,0.8408,171.70467,5,12.82,NA,NA,NA
3607,M,low,13,10,40,40,Stress,11.69122,171.70467,5,12.82,NA,NA,NA
